States,Token,=,Token No,<,>,Letter,Digit,Space,Tab,New line,+,-,*,/,.,;,:,",",(,),[,],{,},$,EOF
0,-1,3,-3,4,8,1,15,0,0,0,11,12,13,14,24,21,22,23,26,27,28,29,30,31,32,33
1,-1,2,-3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,"Identifier, ID",-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,"RELOP, EQ",-2,105,,,,,,,,,,,,,,,,,,,,,,,
4,-1,6,-3,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5,"RELOP, NE",-2,105,,,,,,,,,,,,,,,,,,,,,,,
6,"RELOP, LE",-2,105,,,,,,,,,,,,,,,,,,,,,,,
7,"RELOP, LT",-1,105,,,,,,,,,,,,,,,,,,,,,,,
8,-1,9,-3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
9,"RELOP, GE",-2,105,,,,,,,,,,,,,,,,,,,,,,,
10,"RELOP, GT",-1,105,,,,,,,,,,,,,,,,,,,,,,,
11,"ADDOP, +",-2,106,,,,,,,,,,,,,,,,,,,,,,,
12,"ADDOP, -",-2,106,,,,,,,,,,,,,,,,,,,,,,,
13,"MULOP, *",-2,107,,,,,,,,,,,,,,,,,,,,,,,
14,"MULOP, /",-2,107,,,,,,,,,,,,,,,,,,,,,,,
15,-1,16,-3,16,16,16,15,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16
16,"NUMBER, NUM",-1,102,,,,,,,,,,,,,,,,,,,,,,,
17,-1,18,-3,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,"NUMBER, NUM",-1,103,,,,,,,,,,,,,,,,,,,,,,,
19,-1,20,-3,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,"NUMBER, NUM",-1,103,,,,,,,,,,,,,,,,,,,,,,,
21,"SYMBOL, ;",-2,109,,,,,,,,,,,,,,,,,,,,,,,
22,-1,35,-3,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
23,"SYMBOL, ,",-2,111,,,,,,,,,,,,,,,,,,,,,,,
24,-1,25,-3,25,25,25,19,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,"SYMBOL, .",-1,112,,,,,,,,,,,,,,,,,,,,,,,
26,"SYMBOL, (",-2,113,,,,,,,,,,,,,,,,,,,,,,,
27,"SYMBOL, )",-2,114,,,,,,,,,,,,,,,,,,,,,,,
28,"SYMBOL, [",-2,115,,,,,,,,,,,,,,,,,,,,,,,
29,"SYMBOL, ]",-2,116,,,,,,,,,,,,,,,,,,,,,,,
30,"SYMBOL, {",-2,117,,,,,,,,,,,,,,,,,,,,,,,
31,"SYMBOL, }",-2,118,,,,,,,,,,,,,,,,,,,,,,,
32,"SYMBOL, $",-2,119,,,,,,,,,,,,,,,,,,,,,,,
33,"SYMBOL, EOF",-2,120,,,,,,,,,,,,,,,,,,,,,,,
34,"SYMBOL, :",-1,110,,,,,,,,,,,,,,,,,,,,,,,
35,"ASSIGNOP, :=",-2,108,,,,,,,,,,,,,,,,,,,,,,,
